"",".","miRNA"
"hsa-mir-6516_hsa-miR-6516-5p",0.000170200317862116,"hsa-miR-6516-5p"
"hsa-mir-490_hsa-miR-490-5p",0.00134481324229655,"hsa-miR-490-5p"
"hsa-mir-4732_hsa-miR-4732-3p",0.000726854827209017,"hsa-miR-4732-3p"
"hsa-mir-10a_hsa-miR-10a-3p",0.000210391550205224,"hsa-miR-10a-3p"
"hsa-mir-497_hsa-miR-497-3p",0.00133884637193124,"hsa-miR-497-3p"
"hsa-mir-1304_hsa-miR-1304-3p",0.00138564527008637,"hsa-miR-1304-3p"
"hsa-mir-1185-1_hsa-miR-1185-1-3p",0.000561571782621899,"hsa-miR-1185-1-3p"
"hsa-mir-3620_hsa-miR-3620-3p",0.00275977084688189,"hsa-miR-3620-3p"
"hsa-mir-1261_hsa-miR-1261",0.000569977767704994,"hsa-miR-1261"
"hsa-mir-329-1_hsa-miR-329-3p",3.83065946015836e-05,"hsa-miR-329-3p"
"hsa-mir-6747_hsa-miR-6747-3p",0.00139764649845017,"hsa-miR-6747-3p"
"hsa-mir-6777_hsa-miR-6777-3p",0.000702580013880198,"hsa-miR-6777-3p"
"hsa-mir-940_hsa-miR-940",0.000326884286975211,"hsa-miR-940"
"hsa-mir-3928_hsa-miR-3928-3p",0.000378018701128256,"hsa-miR-3928-3p"
"hsa-mir-126_hsa-miR-126-5p",0.00167009011640898,"hsa-miR-126-5p"
"hsa-mir-30b_hsa-miR-30b-3p",0.000890492310530739,"hsa-miR-30b-3p"
"hsa-mir-744_hsa-miR-744-3p",7.44761639748265e-05,"hsa-miR-744-3p"
"hsa-mir-452_hsa-miR-452-5p",3.32158169987059e-05,"hsa-miR-452-5p"
"hsa-mir-339_hsa-miR-339-3p",0.00280386146612248,"hsa-miR-339-3p"
"hsa-mir-7641-1_hsa-miR-7641",0.000285626038364436,"hsa-miR-7641"
"hsa-mir-1229_hsa-miR-1229-3p",0.00112930064897588,"hsa-miR-1229-3p"
"hsa-mir-330_hsa-miR-330-5p",0.00154517623879558,"hsa-miR-330-5p"
"hsa-mir-4710_hsa-miR-4710",0.000454683594165395,"hsa-miR-4710"
"hsa-mir-664a_hsa-miR-664a-5p",0.00200342992997782,"hsa-miR-664a-5p"
"hsa-mir-4484_hsa-miR-4484",3.41887170265137e-05,"hsa-miR-4484"
"hsa-mir-887_hsa-miR-887-3p",0.00139483211986338,"hsa-miR-887-3p"
"hsa-mir-675_hsa-miR-675-3p",1.87512859599582e-05,"hsa-miR-675-3p"
"hsa-mir-519d_hsa-miR-519d-3p",0.00022796666719327,"hsa-miR-519d-3p"
"hsa-mir-146b_hsa-miR-146b-3p",0.000987468918618762,"hsa-miR-146b-3p"
"hsa-mir-548j_hsa-miR-548j-5p",0.000598389120391341,"hsa-miR-548j-5p"
"hsa-mir-550a-3_hsa-miR-550a-3-5p",0.00262351971392727,"hsa-miR-550a-3-5p"
"hsa-mir-342_hsa-miR-342-3p",0.00282053004571077,"hsa-miR-342-3p"
"hsa-mir-329-2_hsa-miR-329-3p",0.000200027599746439,"hsa-miR-329-3p"
"hsa-mir-548aw_hsa-miR-548aw",0.000356257043305015,"hsa-miR-548aw"
"hsa-mir-296_hsa-miR-296-3p",0.000338643696088486,"hsa-miR-296-3p"
"hsa-mir-223_hsa-miR-223-3p",0.00244488561211738,"hsa-miR-223-3p"
"hsa-mir-6501_hsa-miR-6501-5p",5.85970659585102e-05,"hsa-miR-6501-5p"
"hsa-mir-451a_hsa-miR-451a",0.000107938745437456,"hsa-miR-451a"
"hsa-mir-6852_hsa-miR-6852-5p",0.000883899016128557,"hsa-miR-6852-5p"
"hsa-mir-6734_hsa-miR-6734-3p",0.000401486647391087,"hsa-miR-6734-3p"
"hsa-mir-5581_hsa-miR-5581-3p",0.000648593516084924,"hsa-miR-5581-3p"
"hsa-mir-1273f_hsa-miR-1273f",0.000599018733079931,"hsa-miR-1273f"
"hsa-mir-1976_hsa-miR-1976",0.00155544311311187,"hsa-miR-1976"
"hsa-mir-126_hsa-miR-126-3p",0.002083193556322,"hsa-miR-126-3p"
"hsa-mir-190a_hsa-miR-190a-3p",0.00031521353448847,"hsa-miR-190a-3p"
"hsa-mir-296_hsa-miR-296-5p",0.00206950255739965,"hsa-miR-296-5p"
"hsa-mir-548k_hsa-miR-548k",0.000562910058884865,"hsa-miR-548k"
"hsa-mir-1225_hsa-miR-1225-5p",0.000861659290448303,"hsa-miR-1225-5p"
"hsa-mir-486_hsa-miR-486-5p",0.0032805667916386,"hsa-miR-486-5p"
"hsa-mir-6756_hsa-miR-6756-3p",0.000832194549717737,"hsa-miR-6756-3p"
"hsa-mir-574_hsa-miR-574-3p",0.00126387868479663,"hsa-miR-574-3p"
"hsa-mir-2115_hsa-miR-2115-3p",0.00163056458786379,"hsa-miR-2115-3p"
"hsa-mir-518e_hsa-miR-518e-3p",0.000258985067285805,"hsa-miR-518e-3p"
"hsa-mir-504_hsa-miR-504-5p",0.00021612401145182,"hsa-miR-504-5p"
"hsa-mir-2355_hsa-miR-2355-3p",0.000431144741397542,"hsa-miR-2355-3p"
"hsa-mir-5001_hsa-miR-5001-3p",0.00133694743651226,"hsa-miR-5001-3p"
"hsa-mir-217_hsa-miR-217",0.000279488833729113,"hsa-miR-217"
"hsa-mir-376a-2_hsa-miR-376a-2-5p",0.00137665903773647,"hsa-miR-376a-2-5p"
"hsa-mir-1250_hsa-miR-1250-5p",0.0017452438501016,"hsa-miR-1250-5p"
"hsa-mir-192_hsa-miR-192-5p",0.00355589752183409,"hsa-miR-192-5p"
"hsa-mir-125b-2_hsa-miR-125b-2-3p",2.44678412416212e-05,"hsa-miR-125b-2-3p"
"hsa-mir-500a_hsa-miR-500a-5p",0.00180328292656356,"hsa-miR-500a-5p"
"hsa-mir-30c-1_hsa-miR-30c-1-3p",0.000386931497649436,"hsa-miR-30c-1-3p"
"hsa-mir-326_hsa-miR-326",0.000813782527621067,"hsa-miR-326"
"hsa-mir-4440_hsa-miR-4440",0.00108247461214882,"hsa-miR-4440"
"hsa-mir-181c_hsa-miR-181c-5p",0.00197811979459144,"hsa-miR-181c-5p"
"hsa-mir-363_hsa-miR-363-3p",0.00276847404151524,"hsa-miR-363-3p"
"hsa-mir-210_hsa-miR-210-3p",0.00108425729128885,"hsa-miR-210-3p"
"hsa-mir-486-2_hsa-miR-486-5p",0.00321375162206428,"hsa-miR-486-5p"
"hsa-mir-6877_hsa-miR-6877-5p",0.000761506023297561,"hsa-miR-6877-5p"
"hsa-mir-3157_hsa-miR-3157-5p",0.00035854098124784,"hsa-miR-3157-5p"
"hsa-mir-6803_hsa-miR-6803-3p",0.00142020678575844,"hsa-miR-6803-3p"
"hsa-mir-3657_hsa-miR-3657",0.00149219571027138,"hsa-miR-3657"
"hsa-mir-5010_hsa-miR-5010-5p",3.56306963997521e-05,"hsa-miR-5010-5p"
"hsa-mir-1537_hsa-miR-1537-5p",0.00189258798997872,"hsa-miR-1537-5p"
"hsa-mir-1268b_hsa-miR-1268b",0.00104991599814219,"hsa-miR-1268b"
"hsa-mir-99b_hsa-miR-99b-5p",0.00137053458149955,"hsa-miR-99b-5p"
"hsa-mir-542_hsa-miR-542-5p",0.00228882333479,"hsa-miR-542-5p"
"hsa-mir-125a_hsa-miR-125a-3p",0.00085770233892875,"hsa-miR-125a-3p"
"hsa-mir-3182_hsa-miR-3182",0.00128172946232782,"hsa-miR-3182"
"hsa-mir-1285-1_hsa-miR-1285-3p",0.0035002430574067,"hsa-miR-1285-3p"
"hsa-mir-376a-1_hsa-miR-376a-5p",0.00119745113259211,"hsa-miR-376a-5p"
"hsa-mir-3940_hsa-miR-3940-5p",3.99388604562127e-05,"hsa-miR-3940-5p"
"hsa-mir-500b_hsa-miR-500b-5p",0.00137306138993185,"hsa-miR-500b-5p"
"hsa-mir-582_hsa-miR-582-3p",0.00181619115477521,"hsa-miR-582-3p"
"hsa-mir-939_hsa-miR-939-5p",0.000851377452539669,"hsa-miR-939-5p"
"hsa-mir-517c_hsa-miR-517c-3p",0.00133630381578538,"hsa-miR-517c-3p"
"hsa-mir-589_hsa-miR-589-3p",0.000331591307037805,"hsa-miR-589-3p"
"hsa-mir-496_hsa-miR-496",0.000646037262051853,"hsa-miR-496"
"hsa-mir-511_hsa-miR-511-3p",0.000375741650062111,"hsa-miR-511-3p"
"hsa-mir-101-1_hsa-miR-101-3p",0.000567570117765948,"hsa-miR-101-3p"
"hsa-mir-143_hsa-miR-143-5p",0.000721324070080473,"hsa-miR-143-5p"
"hsa-mir-139_hsa-miR-139-3p",0.00120716547368523,"hsa-miR-139-3p"
"hsa-mir-101-2_hsa-miR-101-3p",0.000740228755942488,"hsa-miR-101-3p"
"hsa-mir-6734_hsa-miR-6734-5p",0.00107265067320472,"hsa-miR-6734-5p"
"hsa-mir-196b_hsa-miR-196b-5p",0.00169169082761758,"hsa-miR-196b-5p"
"hsa-mir-3150b_hsa-miR-3150b-3p",0.000597156319406533,"hsa-miR-3150b-3p"
"hsa-mir-7977_hsa-miR-7977",0.0016506008781953,"hsa-miR-7977"
"hsa-mir-1179_hsa-miR-1179",0.00139200300217698,"hsa-miR-1179"
"hsa-mir-4766_hsa-miR-4766-3p",0.000701333762553127,"hsa-miR-4766-3p"
"hsa-mir-320a_hsa-miR-320a",0.00226782373924845,"hsa-miR-320a"
"hsa-mir-330_hsa-miR-330-3p",0.00203934009008861,"hsa-miR-330-3p"
"hsa-mir-550a-1_hsa-miR-550a-5p",0.0033191031695863,"hsa-miR-550a-5p"
"hsa-mir-92a-1_hsa-miR-92a-1-5p",0.000504170707810873,"hsa-miR-92a-1-5p"
"hsa-mir-320c-2_hsa-miR-320c",0.000611983950353311,"hsa-miR-320c"
"hsa-mir-641_hsa-miR-641",0.00120155460301667,"hsa-miR-641"
"hsa-mir-3944_hsa-miR-3944-5p",0.00070354051854496,"hsa-miR-3944-5p"
"hsa-mir-143_hsa-miR-143-3p",0.000604451084910272,"hsa-miR-143-3p"
"hsa-mir-4286_hsa-miR-4286",0.0021272789710112,"hsa-miR-4286"
"hsa-mir-518f_hsa-miR-518f-3p",9.493407971715e-05,"hsa-miR-518f-3p"
"hsa-mir-542_hsa-miR-542-3p",0.000259528025285776,"hsa-miR-542-3p"
"hsa-mir-30d_hsa-miR-30d-5p",0.000149935902721897,"hsa-miR-30d-5p"
"hsa-mir-636_hsa-miR-636",0.00128387724168095,"hsa-miR-636"
"hsa-mir-135a-2_hsa-miR-135a-5p",0.000895406779920077,"hsa-miR-135a-5p"
"hsa-mir-130a_hsa-miR-130a-5p",0.000487223203103339,"hsa-miR-130a-5p"
"hsa-mir-3913-1_hsa-miR-3913-5p",0.000639575560969185,"hsa-miR-3913-5p"
"hsa-mir-610_hsa-miR-610",0.00201593021055016,"hsa-miR-610"
"hsa-mir-3913-2_hsa-miR-3913-5p",0.000967549937400522,"hsa-miR-3913-5p"
"hsa-let-7i_hsa-let-7i-5p",0.00105189610036126,"hsa-let-7i-5p"
"hsa-mir-99b_hsa-miR-99b-3p",0.00187249438370443,"hsa-miR-99b-3p"
"hsa-mir-873_hsa-miR-873-3p",0.000638054655234129,"hsa-miR-873-3p"
"hsa-mir-181b-1_hsa-miR-181b-3p",0.00123346443366131,"hsa-miR-181b-3p"
"hsa-mir-30e_hsa-miR-30e-5p",0.00117401671378805,"hsa-miR-30e-5p"
"hsa-mir-548d-2_hsa-miR-548d-5p",0.00225534014696628,"hsa-miR-548d-5p"
"hsa-mir-9-2_hsa-miR-9-5p",0.00246814920572229,"hsa-miR-9-5p"
"hsa-mir-320b-2_hsa-miR-320b",0.00127930476134432,"hsa-miR-320b"
"hsa-mir-197_hsa-miR-197-3p",0.00259952344557389,"hsa-miR-197-3p"
"hsa-mir-219a-1_hsa-miR-219a-5p",0.00169984306230927,"hsa-miR-219a-5p"
"hsa-mir-3196_hsa-miR-3196",0.00103400806096946,"hsa-miR-3196"
"hsa-mir-138-2_hsa-miR-138-5p",0.000496602769389433,"hsa-miR-138-5p"
"hsa-mir-187_hsa-miR-187-3p",0.000396382739347977,"hsa-miR-187-3p"
"hsa-mir-548aa-1_hsa-miR-548aa",0.00230620881046063,"hsa-miR-548aa"
"hsa-mir-27b_hsa-miR-27b-5p",0.00109090976001064,"hsa-miR-27b-5p"
"hsa-mir-642b_hsa-miR-642b-5p",0.000198044925274175,"hsa-miR-642b-5p"
"hsa-mir-4521_hsa-miR-4521",0.00079293615855463,"hsa-miR-4521"
"hsa-mir-181c_hsa-miR-181c-3p",0.00140209363579006,"hsa-miR-181c-3p"
"hsa-mir-629_hsa-miR-629-3p",0.00108899526793255,"hsa-miR-629-3p"
"hsa-mir-6802_hsa-miR-6802-3p",0.00123629262566373,"hsa-miR-6802-3p"
"hsa-mir-199b_hsa-miR-199b-3p",0.00105565110163746,"hsa-miR-199b-3p"
"hsa-mir-5193_hsa-miR-5193",0.000996876037061477,"hsa-miR-5193"
"hsa-mir-224_hsa-miR-224-3p",0.00140536741076837,"hsa-miR-224-3p"
"hsa-mir-1306_hsa-miR-1306-3p",0.00101692255061855,"hsa-miR-1306-3p"
"hsa-mir-501_hsa-miR-501-5p",0.00179871025107807,"hsa-miR-501-5p"
"hsa-mir-4665_hsa-miR-4665-5p",0.00123790747290796,"hsa-miR-4665-5p"
"hsa-mir-141_hsa-miR-141-5p",0.000925376197772431,"hsa-miR-141-5p"
"hsa-mir-214_hsa-miR-214-3p",0.00250904153162837,"hsa-miR-214-3p"
"hsa-mir-16-1_hsa-miR-16-1-3p",0.00144383820469819,"hsa-miR-16-1-3p"
"hsa-mir-20b_hsa-miR-20b-3p",0.000519796227927053,"hsa-miR-20b-3p"
"hsa-mir-550a-2_hsa-miR-550a-5p",0.00304860250901763,"hsa-miR-550a-5p"
"hsa-mir-199a-1_hsa-miR-199a-3p",0.0010446387344304,"hsa-miR-199a-3p"
"hsa-mir-574_hsa-miR-574-5p",0.00102529025586216,"hsa-miR-574-5p"
"hsa-mir-548d-1_hsa-miR-548d-5p",0.00228867011759011,"hsa-miR-548d-5p"
"hsa-mir-4787_hsa-miR-4787-5p",0.000235659195208776,"hsa-miR-4787-5p"
"hsa-mir-628_hsa-miR-628-5p",0.00235052381096148,"hsa-miR-628-5p"
"hsa-mir-548aa-2_hsa-miR-548aa",0.00237681209913889,"hsa-miR-548aa"
"hsa-mir-769_hsa-miR-769-5p",0.00263052936272801,"hsa-miR-769-5p"
"hsa-mir-4485_hsa-miR-4485",7.55463547167678e-05,"hsa-miR-4485"
"hsa-mir-4646_hsa-miR-4646-3p",0.00127387462048603,"hsa-miR-4646-3p"
"hsa-mir-766_hsa-miR-766-5p",0.00025601183272498,"hsa-miR-766-5p"
"hsa-mir-106b_hsa-miR-106b-5p",0.00224575105439793,"hsa-miR-106b-5p"
"hsa-mir-548t_hsa-miR-548t-3p",0.00228120858750087,"hsa-miR-548t-3p"
"hsa-mir-1908_hsa-miR-1908-5p",0.00215273467289693,"hsa-miR-1908-5p"
"hsa-mir-27a_hsa-miR-27a-5p",0.000972793035052383,"hsa-miR-27a-5p"
"hsa-mir-4738_hsa-miR-4738-3p",0.00100593063642954,"hsa-miR-4738-3p"
"hsa-mir-3194_hsa-miR-3194-5p",0.000973856142295379,"hsa-miR-3194-5p"
"hsa-mir-4492_hsa-miR-4492",0.00100513255157123,"hsa-miR-4492"
"hsa-mir-320c-1_hsa-miR-320c",0.000723130579199702,"hsa-miR-320c"
"hsa-mir-98_hsa-miR-98-3p",0.00021534943613424,"hsa-miR-98-3p"
"hsa-mir-133a-1_hsa-miR-133a-3p",0.000242399071559499,"hsa-miR-133a-3p"
"hsa-mir-24-1_hsa-miR-24-1-5p",0.00113658935179605,"hsa-miR-24-1-5p"
"hsa-mir-194-2_hsa-miR-194-5p",0.00162079099042568,"hsa-miR-194-5p"
"hsa-mir-548e_hsa-miR-548e-3p",0.000246361015253173,"hsa-miR-548e-3p"
"hsa-mir-2115_hsa-miR-2115-5p",1.45078545120137e-05,"hsa-miR-2115-5p"
"hsa-mir-133a-2_hsa-miR-133a-3p",0.000422601178369237,"hsa-miR-133a-3p"
"hsa-mir-320b-1_hsa-miR-320b",0.00111195853120415,"hsa-miR-320b"
"hsa-mir-6511b-1_hsa-miR-6511b-3p",0.00138128803073335,"hsa-miR-6511b-3p"
"hsa-mir-654_hsa-miR-654-3p",0.000547522856913336,"hsa-miR-654-3p"
"hsa-mir-6858_hsa-miR-6858-5p",0.000564613880115156,"hsa-miR-6858-5p"
"hsa-mir-3677_hsa-miR-3677-3p",1.05398394329701e-05,"hsa-miR-3677-3p"
"hsa-mir-99a_hsa-miR-99a-5p",0.00172747561517927,"hsa-miR-99a-5p"
"hsa-mir-599_hsa-miR-599",0.00274579666027215,"hsa-miR-599"
"hsa-mir-218-1_hsa-miR-218-5p",0.000407606862304108,"hsa-miR-218-5p"
"hsa-mir-6818_hsa-miR-6818-5p",0.000202313675194876,"hsa-miR-6818-5p"
"hsa-mir-331_hsa-miR-331-3p",0.000454086632440868,"hsa-miR-331-3p"
"hsa-mir-18b_hsa-miR-18b-5p",0.00104562239744999,"hsa-miR-18b-5p"
"hsa-mir-4676_hsa-miR-4676-5p",0.00104208699314601,"hsa-miR-4676-5p"
"hsa-mir-3679_hsa-miR-3679-5p",0.000749507847878329,"hsa-miR-3679-5p"
"hsa-mir-223_hsa-miR-223-5p",0.00194984121710396,"hsa-miR-223-5p"
"hsa-mir-136_hsa-miR-136-5p",0.000720926492761284,"hsa-miR-136-5p"
"hsa-mir-5095_hsa-miR-5095",0.000986152390301344,"hsa-miR-5095"
"hsa-mir-154_hsa-miR-154-5p",0.000536172355307312,"hsa-miR-154-5p"
"hsa-mir-378d-2_hsa-miR-378d",0.00215995057344663,"hsa-miR-378d"
"hsa-mir-30a_hsa-miR-30a-5p",0.0014342173868011,"hsa-miR-30a-5p"
"hsa-mir-4667_hsa-miR-4667-5p",0.00131438703220278,"hsa-miR-4667-5p"
"hsa-mir-627_hsa-miR-627-3p",0.000397432379958423,"hsa-miR-627-3p"
"hsa-mir-502_hsa-miR-502-5p",0.000956435231559936,"hsa-miR-502-5p"
"hsa-mir-320d-1_hsa-miR-320d",0.000972998902552528,"hsa-miR-320d"
"hsa-mir-6503_hsa-miR-6503-5p",0.00119114784995718,"hsa-miR-6503-5p"
"hsa-mir-107_hsa-miR-107",0.00303708360306963,"hsa-miR-107"
"hsa-mir-877_hsa-miR-877-5p",6.42640590978254e-05,"hsa-miR-877-5p"
"hsa-mir-1224_hsa-miR-1224-5p",0.00113832015954255,"hsa-miR-1224-5p"
"hsa-mir-3124_hsa-miR-3124-5p",0.000465360259235468,"hsa-miR-3124-5p"
"hsa-mir-219a-2_hsa-miR-219a-5p",0.00159364590315863,"hsa-miR-219a-5p"
"hsa-mir-3065_hsa-miR-3065-5p",5.74135232789886e-05,"hsa-miR-3065-5p"
"hsa-mir-2278_hsa-miR-2278",0.00135438501820316,"hsa-miR-2278"
"hsa-mir-103a-2_hsa-miR-103a-2-5p",0.00164718752708836,"hsa-miR-103a-2-5p"
"hsa-mir-194-1_hsa-miR-194-5p",0.00167891291911674,"hsa-miR-194-5p"
"hsa-mir-2116_hsa-miR-2116-3p",0.000317971903137543,"hsa-miR-2116-3p"
"hsa-mir-6735_hsa-miR-6735-5p",0.000263652808658491,"hsa-miR-6735-5p"
"hsa-mir-4685_hsa-miR-4685-3p",0.000343546005173813,"hsa-miR-4685-3p"
"hsa-mir-877_hsa-miR-877-3p",0.00141315436965937,"hsa-miR-877-3p"
"hsa-mir-760_hsa-miR-760",0.000679226338159124,"hsa-miR-760"
"hsa-mir-548ay_hsa-miR-548ay-5p",0.00252240122092613,"hsa-miR-548ay-5p"
"hsa-mir-491_hsa-miR-491-5p",0.00127244544482659,"hsa-miR-491-5p"
"hsa-mir-147b_hsa-miR-147b",0.00119730868014327,"hsa-miR-147b"
"hsa-mir-4707_hsa-miR-4707-5p",0.000472513875193615,"hsa-miR-4707-5p"
"hsa-mir-6749_hsa-miR-6749-3p",0.00103021186602381,"hsa-miR-6749-3p"
"hsa-mir-744_hsa-miR-744-5p",0.00221870553383656,"hsa-miR-744-5p"
"hsa-mir-551a_hsa-miR-551a",0.00109546171472603,"hsa-miR-551a"
"hsa-mir-34b_hsa-miR-34b-5p",0.000622359966508384,"hsa-miR-34b-5p"
"hsa-mir-3158-1_hsa-miR-3158-3p",0.000615583313587467,"hsa-miR-3158-3p"
"hsa-mir-497_hsa-miR-497-5p",0.00299202278048656,"hsa-miR-497-5p"
"hsa-mir-363_hsa-miR-363-5p",0.00107411464829298,"hsa-miR-363-5p"
"hsa-mir-941-2_hsa-miR-941",0.00131448254911519,"hsa-miR-941"
"hsa-mir-597_hsa-miR-597-5p",0.00148210219092529,"hsa-miR-597-5p"
"hsa-mir-92b_hsa-miR-92b-5p",0.00104240494272716,"hsa-miR-92b-5p"
"hsa-mir-6813_hsa-miR-6813-5p",0.000640777143873463,"hsa-miR-6813-5p"
"hsa-mir-4454_hsa-miR-4454",6.21040256676925e-05,"hsa-miR-4454"
"hsa-mir-1343_hsa-miR-1343-3p",2.57456578190344e-05,"hsa-miR-1343-3p"
"hsa-mir-1307_hsa-miR-1307-5p",0.00181912904277171,"hsa-miR-1307-5p"
"hsa-mir-935_hsa-miR-935",0.0011916794361886,"hsa-miR-935"
"hsa-mir-378c_hsa-miR-378c",0.00131945990688477,"hsa-miR-378c"
"hsa-mir-3176_hsa-miR-3176",0.000282879737973232,"hsa-miR-3176"
"hsa-mir-133a-1_hsa-miR-133a-5p",0.000343240621045496,"hsa-miR-133a-5p"
"hsa-mir-6780a_hsa-miR-6780a-5p",0.0015551253932844,"hsa-miR-6780a-5p"
"hsa-mir-133b_hsa-miR-133b",0.00024051618166633,"hsa-miR-133b"
"hsa-mir-200b_hsa-miR-200b-5p",0.0015523338665307,"hsa-miR-200b-5p"
"hsa-mir-6851_hsa-miR-6851-3p",0.000205814865178356,"hsa-miR-6851-3p"
"hsa-mir-1285-2_hsa-miR-1285-3p",0.0031156014307758,"hsa-miR-1285-3p"
"hsa-mir-487b_hsa-miR-487b-3p",0.000573063911593738,"hsa-miR-487b-3p"
"hsa-mir-2116_hsa-miR-2116-5p",0.000613276024340159,"hsa-miR-2116-5p"
"hsa-mir-125a_hsa-miR-125a-5p",0.00113951187910845,"hsa-miR-125a-5p"
"hsa-mir-3591_hsa-miR-3591-3p",0.00169715649081391,"hsa-miR-3591-3p"
"hsa-mir-6741_hsa-miR-6741-5p",0.000612535501982345,"hsa-miR-6741-5p"
"hsa-mir-188_hsa-miR-188-3p",0.000327014801564246,"hsa-miR-188-3p"
"hsa-mir-3605_hsa-miR-3605-3p",0.000553216267996436,"hsa-miR-3605-3p"
"hsa-mir-6511a-2_hsa-miR-6511a-3p",0.0014140232692843,"hsa-miR-6511a-3p"
"hsa-mir-3162_hsa-miR-3162-3p",0.000347231249760585,"hsa-miR-3162-3p"
"hsa-mir-3615_hsa-miR-3615",0.00188042586775583,"hsa-miR-3615"
"hsa-mir-4690_hsa-miR-4690-3p",0.000165101808155965,"hsa-miR-4690-3p"
"hsa-mir-6820_hsa-miR-6820-3p",4.03055368348394e-05,"hsa-miR-6820-3p"
"hsa-mir-7854_hsa-miR-7854-3p",0.00130664875709259,"hsa-miR-7854-3p"
"hsa-mir-1468_hsa-miR-1468-5p",0.00066002432678957,"hsa-miR-1468-5p"
"hsa-mir-150_hsa-miR-150-3p",0.000491706079406394,"hsa-miR-150-3p"
"hsa-mir-193a_hsa-miR-193a-3p",0.00123788080850279,"hsa-miR-193a-3p"
"hsa-mir-1255b-1_hsa-miR-1255b-5p",0.00107508869415202,"hsa-miR-1255b-5p"
"hsa-mir-9-1_hsa-miR-9-5p",0.00136417720873646,"hsa-miR-9-5p"
"hsa-mir-7975_hsa-miR-7975",0.000174388085065511,"hsa-miR-7975"
"hsa-mir-6793_hsa-miR-6793-3p",0.00146505629097271,"hsa-miR-6793-3p"
"hsa-mir-8072_hsa-miR-8072",0.000452968722393847,"hsa-miR-8072"
"hsa-mir-345_hsa-miR-345-5p",0.000147752236628364,"hsa-miR-345-5p"
"hsa-mir-6511b-2_hsa-miR-6511b-3p",0.00130384950810441,"hsa-miR-6511b-3p"
"hsa-mir-522_hsa-miR-522-3p",0.000351250574596474,"hsa-miR-522-3p"
"hsa-mir-7-2_hsa-miR-7-5p",0.001568755149701,"hsa-miR-7-5p"
"hsa-mir-769_hsa-miR-769-3p",0.000508072037355967,"hsa-miR-769-3p"
"hsa-mir-3605_hsa-miR-3605-5p",0.000975772554555124,"hsa-miR-3605-5p"
"hsa-mir-3158-2_hsa-miR-3158-3p",0.000365511859589312,"hsa-miR-3158-3p"
"hsa-mir-4448_hsa-miR-4448",0.000407310108225396,"hsa-miR-4448"
"hsa-mir-941-3_hsa-miR-941",0.000717520371600841,"hsa-miR-941"
"hsa-mir-373_hsa-miR-373-3p",0.00117775161577394,"hsa-miR-373-3p"
"hsa-mir-5585_hsa-miR-5585-3p",0.000561775958339727,"hsa-miR-5585-3p"
"hsa-mir-1256_hsa-miR-1256",0.00111859814907447,"hsa-miR-1256"
"hsa-mir-34a_hsa-miR-34a-3p",0.000319281910198112,"hsa-miR-34a-3p"
"hsa-mir-3074_hsa-miR-3074-5p",6.78839188243546e-05,"hsa-miR-3074-5p"
"hsa-mir-1224_hsa-miR-1224-3p",0.000483682336297207,"hsa-miR-1224-3p"
"hsa-mir-7-1_hsa-miR-7-5p",0.00152286365288032,"hsa-miR-7-5p"
"hsa-mir-4677_hsa-miR-4677-3p",4.1218712234557e-06,"hsa-miR-4677-3p"
"hsa-mir-550a-2_hsa-miR-550a-3p",0.001680828631128,"hsa-miR-550a-3p"
"hsa-mir-429_hsa-miR-429",0.000195393580976269,"hsa-miR-429"
"hsa-mir-4531_hsa-miR-4531",0.001107714584532,"hsa-miR-4531"
"hsa-mir-138-1_hsa-miR-138-5p",0.000280206732115448,"hsa-miR-138-5p"
"hsa-mir-3190_hsa-miR-3190-3p",0.00126311383003788,"hsa-miR-3190-3p"
"hsa-mir-124-3_hsa-miR-124-3p",0.00115743703186027,"hsa-miR-124-3p"
"hsa-mir-4676_hsa-miR-4676-3p",0.000192218068347194,"hsa-miR-4676-3p"
"hsa-mir-28_hsa-miR-28-5p",0.000745040737842181,"hsa-miR-28-5p"
"hsa-mir-320d-2_hsa-miR-320d",0.00077641846339551,"hsa-miR-320d"
"hsa-mir-4470_hsa-miR-4470",0.00106395507684001,"hsa-miR-4470"
"hsa-mir-2110_hsa-miR-2110",0.00206298005496699,"hsa-miR-2110"
"hsa-mir-6511a-1_hsa-miR-6511a-3p",0.00162064910721028,"hsa-miR-6511a-3p"
"hsa-mir-4739_hsa-miR-4739",0.00144619146843151,"hsa-miR-4739"
"hsa-mir-1255b-2_hsa-miR-1255b-5p",0.00094822470987743,"hsa-miR-1255b-5p"
"hsa-mir-455_hsa-miR-455-5p",0.00101831328139355,"hsa-miR-455-5p"
"hsa-mir-133a-2_hsa-miR-133a-5p",0.000373297629442942,"hsa-miR-133a-5p"
"hsa-mir-30d_hsa-miR-30d-3p",0.00133244946654154,"hsa-miR-30d-3p"
"hsa-mir-6799_hsa-miR-6799-3p",0.000717706808135883,"hsa-miR-6799-3p"
"hsa-mir-6515_hsa-miR-6515-5p",0.000468126129162398,"hsa-miR-6515-5p"
"hsa-mir-1973_hsa-miR-1973",0.000316739756212597,"hsa-miR-1973"
"hsa-mir-4750_hsa-miR-4750-5p",0.00121624432309461,"hsa-miR-4750-5p"
"hsa-mir-7-3_hsa-miR-7-5p",0.00146944151902966,"hsa-miR-7-5p"
"hsa-mir-3188_hsa-miR-3188",0.00117621434610781,"hsa-miR-3188"
