"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-1-2_hsa-miR-1",113.424107028401,-0.131615931767471,0.318911806097617,-0.412703227823381,0.6798240596583,0.876717780454731,"hsa-miR-1"
"hsa-mir-4741_hsa-miR-4741",1.77263004105049,-0.0336763169009258,0.43875734917669,-0.0767538525887214,0.938819362684546,NA,"hsa-miR-4741"
"hsa-mir-320c-2_hsa-miR-320c",264.01109409624,-0.0886649021533527,0.226465385928747,-0.391516353767411,0.695415602907699,0.88226464368896,"hsa-miR-320c"
"hsa-mir-187_hsa-miR-187-5p",2.68390563560398,0.547192808653072,0.393766431609732,1.38963803089087,0.164638821128154,0.571858808438354,"hsa-miR-187-5p"
"hsa-mir-187_hsa-miR-187-3p",10.9147646786268,0.380200504039094,0.274759178371526,1.38375906600285,0.166432240840872,0.575864723129849,"hsa-miR-187-3p"
"hsa-mir-5583-2_hsa-miR-5583-3p",1.97516249966866,-0.888307378877152,0.429345645037342,-2.06897959521609,0.0385480015101721,0.325524421326201,"hsa-miR-5583-3p"
"hsa-mir-5583-1_hsa-miR-5583-3p",1.71732069371361,-0.510755434804318,0.423655013792094,-1.2055928011629,0.22797453627693,NA,"hsa-miR-5583-3p"
"hsa-mir-1539_hsa-miR-1539",2.56833663635907,0.805243706993989,0.426069606665471,1.88993463602352,0.0587667025416062,0.395713805622161,"hsa-miR-1539"
"hsa-mir-122_hsa-miR-122-5p",83373.2196244162,-0.752126892463949,0.328898572587605,-2.28680497621683,0.0222072089139762,0.260675274728544,"hsa-miR-122-5p"
"hsa-mir-122_hsa-miR-122-3p",23.8255475169578,-0.444792040204009,0.327191263249238,-1.35942517470336,0.17401189822935,0.58289082378437,"hsa-miR-122-3p"
"hsa-mir-3591_hsa-miR-3591-3p",4.80509284514466,0.150589715824221,0.454484034062234,0.331342147441861,0.740386058549957,0.898339272648412,"hsa-miR-3591-3p"
"hsa-mir-548av_hsa-miR-548av-5p",4.8263963679623,-0.208659397008774,0.338232598110122,-0.616910960607169,0.537293456886492,0.826451680774577,"hsa-miR-548av-5p"
"hsa-mir-548av_hsa-miR-548av-3p",1.71150027810005,0.204755022084705,0.420235045473563,0.487239282611393,0.626088770209005,NA,"hsa-miR-548av-3p"
"hsa-mir-4745_hsa-miR-4745-5p",5.01860421463494,-0.443586012735192,0.358061296189846,-1.23885495990608,0.215399216070235,0.615911966713898,"hsa-miR-4745-5p"
"hsa-mir-4745_hsa-miR-4745-3p",2.67292911549796,-0.337490833590352,0.424787677079187,-0.794492994502377,0.426908485672353,0.758411680345792,"hsa-miR-4745-3p"
"hsa-mir-1227_hsa-miR-1227-3p",16.605779511516,0.222844407932429,0.315313481153346,0.706739233341101,0.479728543566086,0.78969731417956,"hsa-miR-1227-3p"
"hsa-mir-6789_hsa-miR-6789-5p",1.92483986033916,-0.0596228853596191,0.430043464792683,-0.138643858681499,0.889731583760145,0.958407263467189,"hsa-miR-6789-5p"
"hsa-mir-6789_hsa-miR-6789-3p",2.90796129585262,0.0984162611744018,0.409358988661676,0.240415537218703,0.810008134416052,0.925291732307227,"hsa-miR-6789-3p"
"hsa-mir-7108_hsa-miR-7108-5p",2.271497991601,0.312316766303058,0.424229225653061,0.736198138688525,0.4616101248395,0.782432276381124,"hsa-miR-7108-5p"
